04:bd:88:41:5a:c0,04:bd:88:41:5a:c1,04:bd:88:41:5a:c2,04:bd:88:41:5a:d0,04:bd:88:41:5a:d1,04:bd:88:41:5a:d2,04:bd:88:41:5b:40,04:bd:88:41:5b:41,04:bd:88:41:5b:42,04:bd:88:41:5b:50,04:bd:88:41:5b:51,04:bd:88:41:5b:52,04:bd:88:41:67:60,04:bd:88:41:67:61,04:bd:88:41:67:62,04:bd:88:41:67:70,04:bd:88:41:67:71,04:bd:88:41:67:72,04:bd:88:41:6b:e0,04:bd:88:41:6b:e1,04:bd:88:41:6b:e2,04:bd:88:41:6b:f0,04:bd:88:41:6b:f1,04:bd:88:41:6b:f2,04:bd:88:41:a3:00,04:bd:88:41:a3:01,04:bd:88:41:a3:02,04:bd:88:41:a3:10,04:bd:88:41:a3:11,04:bd:88:41:a3:12,04:bd:88:41:a4:20,04:bd:88:41:a4:21,04:bd:88:41:a4:22,04:bd:88:41:a4:30,04:bd:88:41:a4:31,04:bd:88:41:a4:32,04:bd:88:41:a4:40,04:bd:88:41:a4:41,04:bd:88:41:a4:42,04:bd:88:41:a4:50,04:bd:88:41:a4:51,04:bd:88:41:a4:52,04:bd:88:5b:e6:a0,04:bd:88:5b:e6:a1,04:bd:88:5b:e6:a2,04:bd:88:5b:e6:b0,04:bd:88:5b:e6:b1,04:bd:88:5b:e6:b2,04:bd:88:5b:e7:00,04:bd:88:5b:e7:01,04:bd:88:5b:e7:02,04:bd:88:5b:e7:10,04:bd:88:5b:e7:11,04:bd:88:5b:e7:12,a8:bd:27:4c:ba:20,a8:bd:27:4c:ba:21,a8:bd:27:4c:ba:22,a8:bd:27:4c:ba:30,a8:bd:27:4c:ba:31,a8:bd:27:4c:ba:32,a8:bd:27:4c:c9:00,a8:bd:27:4c:c9:02,a8:bd:27:4c:c9:03,a8:bd:27:4c:c9:10,a8:bd:27:4c:c9:12,a8:bd:27:4c:c9:13,a8:bd:27:4c:d2:c0,a8:bd:27:4c:d2:c1,a8:bd:27:4c:d2:c2,a8:bd:27:4c:d2:d0,a8:bd:27:4c:d2:d1,a8:bd:27:4c:d2:d2,a8:bd:27:4d:19:20,a8:bd:27:4d:19:21,a8:bd:27:4d:19:22,a8:bd:27:4d:19:30,a8:bd:27:4d:19:31,a8:bd:27:4d:19:32,x,y,label
-76,-75,-74,-71,-71,-71,-69,-69,-69,-68,-68,-68,-62,-62,-62,-66,-66,-66,-83,-100,-100,-87,-89,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-88,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-87,-86,-100,-100,-100,-70,-71,-70,-81,-81,-81,-100,-100,-100,-100,-100,-100,542,206,1
-75,-74,-76,-72,-72,-71,-71,-71,-71,-68,-67,-68,-63,-63,-63,-69,-69,-69,-84,-84,-84,-85,-85,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-100,-100,-89,-90,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-88,-88,-100,-100,-100,-75,-75,-75,-81,-81,-82,-100,-100,-100,-100,-100,-100,542,206,1
-74,-74,-74,-72,-72,-72,-70,-69,-70,-68,-69,-69,-61,-62,-62,-70,-70,-70,-100,-100,-100,-85,-86,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-86,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-100,-100,-100,-100,-73,-74,-76,-83,-83,-83,-100,-100,-100,-100,-100,-100,542,206,1
-75,-75,-75,-70,-70,-71,-68,-68,-68,-65,-67,-67,-62,-62,-62,-69,-69,-69,-100,-100,-100,-84,-83,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-84,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-87,-87,-100,-100,-100,-74,-74,-74,-78,-78,-77,-100,-100,-100,-100,-100,-100,542,206,1
-74,-75,-74,-70,-70,-71,-70,-69,-69,-68,-68,-67,-62,-62,-62,-66,-66,-66,-100,-100,-100,-84,-84,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-84,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-88,-91,-100,-100,-100,-73,-74,-76,-82,-81,-81,-100,-100,-100,-100,-100,-100,542,206,1
-74,-74,-74,-71,-71,-70,-100,-71,-71,-68,-69,-69,-62,-62,-62,-69,-69,-67,-85,-86,-86,-85,-85,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-87,-89,-100,-100,-100,-73,-73,-73,-83,-83,-82,-100,-100,-100,-100,-100,-100,542,206,1
-75,-74,-75,-76,-76,-76,-73,-73,-72,-74,-75,-75,-64,-63,-63,-67,-66,-66,-80,-81,-80,-84,-84,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-86,-85,-100,-100,-100,-74,-73,-74,-78,-78,-79,-100,-100,-100,-100,-100,-100,542,225,2
-75,-74,-75,-75,-76,-77,-73,-73,-72,-75,-76,-77,-63,-62,-62,-67,-66,-67,-79,-79,-79,-85,-84,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-85,-85,-100,-100,-100,-75,-74,-74,-80,-79,-79,-100,-100,-100,-100,-100,-100,542,225,2
-76,-76,-78,-74,-74,-74,-73,-72,-73,-77,-77,-77,-64,-64,-64,-67,-67,-67,-80,-100,-78,-85,-86,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-84,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-86,-85,-100,-100,-100,-100,-78,-78,-81,-81,-81,-100,-88,-88,-100,-100,-100,542,225,2
-78,-78,-78,-77,-76,-78,-72,-73,-72,-73,-74,-74,-63,-62,-62,-65,-65,-65,-81,-79,-80,-84,-84,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-85,-100,-100,-100,-77,-78,-74,-78,-78,-78,-100,-100,-100,-100,-100,-100,542,225,2
-77,-76,-75,-73,-74,-73,-73,-73,-73,-73,-75,-74,-63,-64,-63,-66,-66,-67,-80,-80,-79,-83,-85,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-85,-100,-100,-100,-77,-76,-76,-81,-80,-81,-100,-89,-100,-100,-100,-100,542,225,2
-77,-77,-78,-74,-75,-76,-72,-72,-72,-76,-75,-74,-62,-64,-62,-62,-62,-63,-81,-80,-79,-82,-84,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-88,-100,-100,-100,-77,-76,-75,-79,-78,-77,-100,-89,-100,-100,-100,-100,542,225,2
-76,-75,-75,-73,-74,-73,-75,-76,-76,-77,-77,-77,-68,-62,-62,-65,-64,-65,-81,-79,-80,-83,-84,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-85,-85,-100,-100,-100,-74,-74,-74,-78,-78,-79,-100,-100,-100,-100,-100,-100,542,225,2
-75,-75,-75,-74,-74,-74,-73,-72,-73,-74,-73,-73,-63,-64,-64,-65,-66,-67,-79,-80,-78,-85,-84,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-85,-100,-100,-100,-75,-74,-75,-81,-80,-81,-100,-88,-88,-100,-100,-100,542,225,2
-100,-77,-77,-75,-75,-75,-100,-76,-76,-76,-76,-75,-61,-61,-62,-64,-64,-64,-79,-79,-79,-81,-81,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-87,-86,-100,-100,-100,-75,-75,-75,-85,-84,-84,-100,-100,-100,-100,-100,-100,542,244,3
