18:64:72:46:81:20,18:64:72:46:81:21,18:64:72:46:81:22,18:64:72:46:81:32,18:64:72:46:81:33,18:64:72:46:81:34,18:64:72:46:85:d1,18:64:72:46:85:d2,18:64:72:46:85:d3,18:64:72:46:86:91,18:64:72:46:86:92,18:64:72:46:86:93,18:64:72:46:a0:11,18:64:72:46:a0:12,18:64:72:46:a0:13,18:64:72:47:00:d1,18:64:72:47:00:d2,18:64:72:47:00:d3,18:64:72:47:01:00,18:64:72:47:01:01,18:64:72:47:01:02,18:64:72:47:01:11,18:64:72:47:01:12,18:64:72:47:01:13,18:64:72:47:04:80,18:64:72:47:04:81,18:64:72:47:04:82,18:64:72:47:04:91,18:64:72:47:04:92,18:64:72:47:04:93,18:64:72:47:08:31,18:64:72:47:08:32,18:64:72:47:08:33,84:d4:7e:d8:ef:e0,84:d4:7e:d8:ef:e1,84:d4:7e:d8:ef:e2,84:d4:7e:d8:ef:f0,84:d4:7e:d8:ef:f1,84:d4:7e:d8:ef:f3,84:d4:7e:d8:f1:70,84:d4:7e:d8:f1:71,84:d4:7e:d8:f1:73,84:d4:7e:d8:f2:30,84:d4:7e:d8:f2:32,84:d4:7e:d8:f2:33,84:d4:7e:d8:f3:40,84:d4:7e:d8:f3:41,84:d4:7e:d8:f3:42,84:d4:7e:d8:f3:50,84:d4:7e:d8:f3:51,84:d4:7e:d8:f3:53,84:d4:7e:d8:f3:80,84:d4:7e:d8:f3:81,84:d4:7e:d8:f3:82,84:d4:7e:d8:f3:90,84:d4:7e:d8:f3:91,84:d4:7e:d8:f3:93,84:d4:7e:d8:f4:40,84:d4:7e:d8:f4:41,84:d4:7e:d8:f4:42,84:d4:7e:d8:f4:51,84:d4:7e:d8:f4:52,84:d4:7e:d8:f4:53,84:d4:7e:d8:f5:80,84:d4:7e:d8:f5:81,84:d4:7e:d8:f5:82,84:d4:7e:d8:f5:90,84:d4:7e:d8:f5:91,84:d4:7e:d8:f5:93,84:d4:7e:d8:f6:30,84:d4:7e:d8:f6:31,84:d4:7e:d8:f6:33,84:d4:7e:d8:f6:80,84:d4:7e:d8:f6:81,84:d4:7e:d8:f6:82,84:d4:7e:d8:f6:91,84:d4:7e:d8:f6:92,84:d4:7e:d8:f6:93,84:d4:7e:d8:f6:f0,84:d4:7e:d8:f6:f1,84:d4:7e:d8:f6:f3,84:d4:7e:d8:f9:00,84:d4:7e:d8:f9:01,84:d4:7e:d8:f9:02,84:d4:7e:d8:f9:10,84:d4:7e:d8:f9:11,84:d4:7e:d8:f9:13,84:d4:7e:d8:f9:c0,84:d4:7e:d8:f9:c1,84:d4:7e:d8:f9:c2,84:d4:7e:d8:f9:d0,84:d4:7e:d8:f9:d1,84:d4:7e:d8:f9:d3,84:d4:7e:d8:fa:30,84:d4:7e:d8:fa:31,84:d4:7e:d8:fa:32,84:d4:7e:d8:fa:d0,84:d4:7e:d8:fa:d1,84:d4:7e:d8:fa:d3,84:d4:7e:d8:fb:00,84:d4:7e:d8:fb:01,84:d4:7e:d8:fb:02,84:d4:7e:d8:fb:10,84:d4:7e:d8:fb:11,84:d4:7e:d8:fb:13,84:d4:7e:d8:fd:40,84:d4:7e:d8:fd:41,84:d4:7e:d8:fd:42,84:d4:7e:d8:fd:50,84:d4:7e:d8:fd:51,84:d4:7e:d8:fd:53,84:d4:7e:d9:00:70,84:d4:7e:d9:00:72,84:d4:7e:d9:00:73,84:d4:7e:d9:00:b0,84:d4:7e:d9:00:b1,84:d4:7e:d9:00:b2,84:d4:7e:d9:00:f0,84:d4:7e:d9:00:f1,84:d4:7e:d9:00:f3,84:d4:7e:d9:02:10,84:d4:7e:d9:02:11,84:d4:7e:d9:02:13,84:d4:7e:d9:03:10,84:d4:7e:d9:03:11,84:d4:7e:d9:03:13,84:d4:7e:d9:07:20,84:d4:7e:d9:07:21,84:d4:7e:d9:07:22,84:d4:7e:d9:07:30,84:d4:7e:d9:07:31,84:d4:7e:d9:07:33,a8:bd:27:4c:b1:10,a8:bd:27:4c:b1:11,a8:bd:27:4c:b1:13,a8:bd:27:4c:b6:80,a8:bd:27:4c:b6:81,a8:bd:27:4c:b6:82,a8:bd:27:4c:b6:90,a8:bd:27:4c:b6:92,a8:bd:27:4c:b6:93,a8:bd:27:4c:b7:c0,a8:bd:27:4c:b7:c1,a8:bd:27:4c:b7:c2,a8:bd:27:4c:b7:d0,a8:bd:27:4c:b7:d2,a8:bd:27:4c:b7:d3,a8:bd:27:4c:bc:90,a8:bd:27:4c:bc:91,a8:bd:27:4c:bc:93,a8:bd:27:4c:bf:a0,a8:bd:27:4c:bf:a1,a8:bd:27:4c:bf:a2,a8:bd:27:4c:bf:b0,a8:bd:27:4c:bf:b2,a8:bd:27:4c:bf:b3,a8:bd:27:4c:c0:30,a8:bd:27:4c:c0:31,a8:bd:27:4c:c0:33,a8:bd:27:4c:c0:b0,a8:bd:27:4c:c0:b1,a8:bd:27:4c:c0:b3,a8:bd:27:4c:c8:d0,a8:bd:27:4c:c8:d1,a8:bd:27:4c:c8:d3,b4:5d:50:e1:92:f0,b4:5d:50:e1:92:f1,b4:5d:50:e1:92:f3,b4:5d:50:e1:93:80,b4:5d:50:e1:93:81,b4:5d:50:e1:93:82,b4:5d:50:e1:93:91,b4:5d:50:e1:93:92,b4:5d:50:e1:93:93,b4:5d:50:e1:9c:10,b4:5d:50:e1:9c:11,b4:5d:50:e1:9c:13,b4:5d:50:e1:9c:d0,b4:5d:50:e1:9c:d1,b4:5d:50:e1:9c:d3,x,y,label
-72,-72,-72,-66,-67,-66,-65,-64,-65,-76,-73,-76,-50,-48,-50,-79,-80,-80,-71,-66,-70,-78,-100,-78,-100,-100,-83,-81,-100,-81,-70,-69,-69,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100,-100,-86,-88,-100.0,-88,-100.0,-100.0,-100.0,-87.0,-100.0,-100.0,-90.0,-88.0,-88.0,-100.0,-100.0,-88.0,-88,-87.0,-88,-85.0,-85.0,-90.0,-100.0,-100.0,-100.0,-100,-100,-100,-100,-100,-100,-80,-100,-100.0,-100.0,-100.0,-100.0,-86.0,-86.0,-86.0,-86.0,-88.0,-87.0,-100.0,-100.0,-100.0,-85,-84.0,-84.0,-100.0,-100.0,-100.0,-86.0,-87.0,-86.0,-100.0,-100.0,-100.0,-100,-100,-100,-100.0,-100.0,-100.0,-86,-86,-86,-100,-100,-100,-100.0,-100.0,-100.0,-82.0,-81.0,-81.0,-82,-100,-100,-100.0,-100.0,-100.0,-85.0,-85.0,-85.0,-100,-100,-100,-71,-71,-70,-74,-74,-74,-100,-100,-100,-100.0,-100.0,-100.0,-100.0,-84.0,-100.0,-70,-69,-100,-75,-75,-75,-69,-69,-69,-55,-55,-55,-80,-80.0,-81,-74,-75,-75,-100,-100,-100,-100.0,-100.0,-100.0,-73,-73,-73,-100.0,-100.0,-100.0,823,272,0
-71,-71,-70,-67,-67,-67,-66,-66,-67,-76,-77,-76,-53,-53,-53,-78,-78,-77,-79,-80,-78,-79,-79,-78,-100,-81,-81,-79,-100,-79,-70,-70,-70,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-86,-87,-87,-83,-100.0,-83,-87.0,-86.0,-86.0,-82.0,-100.0,-100.0,-85.0,-85.0,-85.0,-100.0,-83.0,-83.0,-100,-100.0,-84,-85.0,-85.0,-85.0,-100.0,-100.0,-100.0,-100,-100,-100,-100,-100,-100,-83,-100,-100.0,-100.0,-100.0,-100.0,-82.0,-83.0,-83.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-81,-81.0,-81.0,-100.0,-100.0,-100.0,-100.0,-89.0,-100.0,-100.0,-100.0,-100.0,-100,-100,-100,-100.0,-100.0,-100.0,-83,-83,-84,-100,-100,-100,-100.0,-100.0,-100.0,-88.0,-100.0,-85.0,-84,-100,-100,-86.0,-100.0,-89.0,-85.0,-85.0,-86.0,-100,-100,-100,-100,-100,-100,-73,-73,-74,-100,-100,-100,-100.0,-100.0,-100.0,-84.0,-84.0,-84.0,-76,-76,-75,-73,-74,-73,-72,-72,-72,-60,-59,-59,-100,-100.0,-86,-76,-75,-76,-100,-100,-100,-100.0,-100.0,-100.0,-75,-75,-74,-100.0,-100.0,-100.0,823,272,0
-73,-73,-73,-67,-67,-67,-66,-66,-65,-77,-100,-77,-51,-50,-51,-79,-79,-77,-80,-81,-79,-76,-76,-76,-84,-85,-84,-80,-100,-80,-71,-70,-71,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-89,-90,-89,-88,-100.0,-88,-100.0,-100.0,-100.0,-85.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100,-100.0,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100,-100,-100,-100,-100,-100,-77,-78,-100.0,-100.0,-100.0,-89.0,-84.0,-85.0,-86.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-84,-84.0,-84.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100,-100,-100,-100.0,-100.0,-100.0,-87,-86,-86,-100,-100,-100,-100.0,-100.0,-100.0,-82.0,-82.0,-81.0,-85,-100,-85,-90.0,-89.0,-91.0,-90.0,-100.0,-89.0,-100,-100,-100,-70,-70,-69,-75,-75,-75,-100,-100,-100,-100.0,-100.0,-100.0,-85.0,-85.0,-85.0,-73,-73,-74,-75,-76,-75,-69,-68,-69,-57,-57,-57,-100,-100.0,-81,-75,-76,-77,-100,-100,-100,-100.0,-100.0,-100.0,-72,-72,-72,-100.0,-100.0,-100.0,823,272,0
-70,-70,-70,-66,-67,-66,-67,-65,-67,-73,-73,-73,-48,-48,-48,-78,-78,-78,-79,-78,-78,-77,-100,-78,-100,-80,-83,-82,-100,-82,-69,-67,-69,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100,-100,-86,-88,-100.0,-88,-100.0,-100.0,-85.0,-100.0,-100.0,-100.0,-87.0,-86.0,-87.0,-100.0,-100.0,-88.0,-100,-86.0,-100,-85.0,-85.0,-86.0,-100.0,-100.0,-100.0,-100,-100,-100,-100,-100,-100,-80,-100,-100.0,-87.0,-100.0,-100.0,-86.0,-86.0,-86.0,-86.0,-88.0,-87.0,-100.0,-100.0,-100.0,-84,-83.0,-81.0,-100.0,-100.0,-100.0,-86.0,-87.0,-86.0,-100.0,-100.0,-100.0,-100,-100,-100,-100.0,-100.0,-100.0,-83,-84,-84,-100,-100,-100,-100.0,-100.0,-100.0,-82.0,-81.0,-81.0,-82,-100,-100,-100.0,-100.0,-100.0,-85.0,-85.0,-85.0,-100,-100,-100,-70,-69,-70,-71,-72,-72,-100,-100,-100,-100.0,-100.0,-100.0,-84.0,-84.0,-100.0,-74,-74,-100,-74,-74,-74,-71,-71,-71,-56,-56,-56,-80,-80.0,-81,-75,-73,-76,-100,-100,-100,-100.0,-100.0,-100.0,-73,-73,-73,-100.0,-100.0,-100.0,823,272,0
-71,-71,-72,-67,-67,-67,-67,-63,-68,-75,-75,-74,-48,-48,-48,-78,-78,-77,-77,-81,-81,-79,-100,-80,-100,-100,-80,-80,-100,-79,-70,-69,-69,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100,-100,-85,-83,-100.0,-100,-100.0,-100.0,-100.0,-82.0,-100.0,-100.0,-100.0,-100.0,-86.0,-100.0,-100.0,-100.0,-100,-100.0,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100,-100,-100,-100,-100,-100,-81,-100,-100.0,-86.0,-85.0,-85.0,-82.0,-83.0,-82.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-80,-80.0,-80.0,-100.0,-100.0,-100.0,-87.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100,-100,-100,-100.0,-100.0,-100.0,-82,-82,-82,-100,-100,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-82,-100,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100,-100,-100,-100,-100,-100,-73,-73,-73,-100,-100,-100,-100.0,-100.0,-100.0,-84.0,-83.0,-83.0,-74,-73,-73,-75,-75,-75,-68,-69,-69,-57,-57,-57,-100,-100.0,-86,-76,-77,-75,-100,-100,-100,-100.0,-100.0,-100.0,-73,-73,-73,-100.0,-100.0,-100.0,823,272,0
-71,-70,-69,-68,-68,-68,-67,-65,-66,-77,-76,-76,-52,-52,-52,-78,-78,-78,-77,-81,-80,-79,-79,-79,-100,-81,-81,-78,-100,-78,-69,-69,-69,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-86,-87,-87,-83,-100.0,-82,-100.0,-100.0,-100.0,-82.0,-100.0,-100.0,-100.0,-100.0,-86.0,-100.0,-83.0,-83.0,-100,-100.0,-84,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100,-100,-100,-100,-100,-100,-83,-100,-100.0,-86.0,-85.0,-85.0,-82.0,-82.0,-83.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-82,-82.0,-81.0,-100.0,-100.0,-100.0,-87.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100,-100,-100,-100.0,-100.0,-100.0,-83,-83,-84,-100,-100,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-84,-100,-100,-86.0,-100.0,-100.0,-86.0,-100.0,-86.0,-100,-100,-100,-100,-100,-100,-74,-75,-75,-100,-100,-100,-100.0,-100.0,-100.0,-84.0,-84.0,-84.0,-76,-76,-76,-76,-75,-75,-70,-70,-70,-57,-57,-57,-100,-100.0,-85,-73,-73,-75,-100,-100,-100,-100.0,-100.0,-100.0,-74,-74,-74,-100.0,-100.0,-100.0,823,272,0
-73,-72,-72,-66,-66,-66,-63,-64,-64,-77,-77,-75,-50,-50,-50,-78,-78,-78,-78,-78,-78,-78,-80,-79,-82,-83,-83,-79,-100,-79,-69,-69,-69,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100,-100,-87,-83,-100.0,-84,-100.0,-100.0,-100.0,-82.0,-100.0,-100.0,-86.0,-86.0,-86.0,-100.0,-100.0,-100.0,-100,-100.0,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100,-100,-100,-100,-100,-100,-82,-100,-100.0,-88.0,-86.0,-100.0,-82.0,-83.0,-83.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-82,-82.0,-82.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100,-100,-100,-100.0,-100.0,-100.0,-82,-83,-83,-100,-100,-100,-100.0,-100.0,-100.0,-86.0,-100.0,-88.0,-83,-100,-83,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100,-100,-100,-70,-70,-70,-75,-75,-75,-100,-100,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-85.0,-76,-76,-75,-75,-75,-75,-69,-69,-69,-55,-55,-55,-86,-86.0,-87,-75,-77,-77,-100,-100,-100,-100.0,-100.0,-100.0,-72,-72,-72,-100.0,-100.0,-100.0,823,272,0
-72,-71,-71,-69,-70,-69,-66,-65,-66,-75,-75,-75,-50,-50,-50,-78,-79,-77,-79,-78,-78,-78,-80,-78,-82,-83,-83,-78,-100,-78,-70,-69,-69,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100,-100,-100,-82,-100.0,-81,-87.0,-86.0,-86.0,-82.0,-100.0,-100.0,-85.0,-85.0,-85.0,-100.0,-100.0,-100.0,-100,-100.0,-100,-85.0,-85.0,-85.0,-100.0,-100.0,-100.0,-100,-100,-100,-100,-100,-100,-82,-100,-100.0,-100.0,-100.0,-100.0,-82.0,-82.0,-82.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-82,-81.0,-100.0,-100.0,-100.0,-100.0,-100.0,-89.0,-100.0,-100.0,-100.0,-100.0,-100,-100,-100,-100.0,-100.0,-100.0,-83,-84,-84,-100,-100,-100,-100.0,-100.0,-100.0,-86.0,-100.0,-88.0,-83,-100,-100,-100.0,-100.0,-89.0,-85.0,-85.0,-86.0,-100,-100,-100,-70,-70,-70,-75,-75,-75,-100,-100,-100,-100.0,-100.0,-100.0,-84.0,-84.0,-85.0,-77,-77,-76,-74,-75,-75,-69,-69,-69,-55,-55,-55,-86,-85.0,-86,-76,-76,-78,-100,-100,-100,-100.0,-100.0,-100.0,-73,-73,-73,-100.0,-100.0,-100.0,823,272,0
-71,-71,-71,-69,-69,-69,-66,-66,-67,-78,-78,-78,-53,-53,-53,-81,-81,-81,-77,-100,-77,-79,-79,-80,-84,-84,-85,-80,-100,-80,-68,-68,-68,-90.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100,-90,-90,-89,-100.0,-88,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-88.0,-91.0,-91.0,-86,-100.0,-87,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100,-100,-100,-100,-100,-100,-100,-79,-100.0,-100.0,-100.0,-100.0,-87.0,-89.0,-87.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-85,-85.0,-84.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100,-100,-100,-100.0,-100.0,-100.0,-85,-85,-85,-100,-100,-100,-100.0,-100.0,-100.0,-82.0,-100.0,-81.0,-83,-100,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100,-100,-100,-100,-100,-100,-76,-76,-77,-100,-100,-100,-100.0,-100.0,-100.0,-88.0,-88.0,-89.0,-73,-74,-73,-75,-76,-76,-72,-71,-71,-57,-57,-57,-80,-81.0,-81,-71,-72,-72,-100,-100,-100,-100.0,-100.0,-100.0,-68,-68,-68,-100.0,-100.0,-100.0,823,286,1
-70,-70,-70,-70,-70,-70,-69,-68,-69,-75,-78,-75,-54,-54,-54,-80,-80,-80,-78,-100,-100,-79,-81,-80,-100,-100,-83,-78,-100,-78,-69,-69,-69,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100,-90,-100,-89,-100.0,-88,-89.0,-89.0,-88.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90.0,-92.0,-90.0,-100,-100.0,-100,-91.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100,-100,-100,-100,-100,-100,-76,-79,-100.0,-100.0,-100.0,-100.0,-86.0,-87.0,-88.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-84,-83.0,-84.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100,-100,-100,-100.0,-100.0,-100.0,-84,-83,-84,-100,-100,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-82.0,-85,-100,-100,-100.0,-100.0,-100.0,-88.0,-100.0,-91.0,-100,-100,-100,-69,-69,-69,-79,-78,-78,-100,-100,-100,-100.0,-100.0,-100.0,-90.0,-100.0,-100.0,-72,-74,-74,-72,-72,-72,-72,-71,-71,-57,-57,-57,-81,-81.0,-81,-71,-73,-72,-100,-100,-100,-100.0,-100.0,-100.0,-82,-82,-83,-100.0,-100.0,-100.0,823,286,1
