04:bd:88:41:5a:c0,04:bd:88:41:5a:c1,04:bd:88:41:5a:c2,04:bd:88:41:5a:d0,04:bd:88:41:5a:d1,04:bd:88:41:5a:d2,04:bd:88:41:5b:40,04:bd:88:41:5b:41,04:bd:88:41:5b:42,04:bd:88:41:5b:50,04:bd:88:41:5b:51,04:bd:88:41:5b:52,04:bd:88:41:67:60,04:bd:88:41:67:61,04:bd:88:41:67:62,04:bd:88:41:67:70,04:bd:88:41:67:71,04:bd:88:41:67:72,04:bd:88:41:6b:e0,04:bd:88:41:6b:e1,04:bd:88:41:6b:e2,04:bd:88:41:6b:f0,04:bd:88:41:6b:f1,04:bd:88:41:6b:f2,04:bd:88:41:a3:00,04:bd:88:41:a3:01,04:bd:88:41:a3:02,04:bd:88:41:a3:10,04:bd:88:41:a3:11,04:bd:88:41:a3:12,04:bd:88:41:a4:20,04:bd:88:41:a4:21,04:bd:88:41:a4:22,04:bd:88:41:a4:30,04:bd:88:41:a4:31,04:bd:88:41:a4:32,04:bd:88:41:a4:40,04:bd:88:41:a4:41,04:bd:88:41:a4:42,04:bd:88:41:a4:50,04:bd:88:41:a4:51,04:bd:88:41:a4:52,04:bd:88:5b:e6:a0,04:bd:88:5b:e6:a1,04:bd:88:5b:e6:a2,04:bd:88:5b:e6:b0,04:bd:88:5b:e6:b1,04:bd:88:5b:e6:b2,04:bd:88:5b:e7:00,04:bd:88:5b:e7:01,04:bd:88:5b:e7:02,04:bd:88:5b:e7:10,04:bd:88:5b:e7:11,04:bd:88:5b:e7:12,a8:bd:27:4c:ba:20,a8:bd:27:4c:ba:21,a8:bd:27:4c:ba:22,a8:bd:27:4c:ba:30,a8:bd:27:4c:ba:31,a8:bd:27:4c:ba:32,a8:bd:27:4c:c9:00,a8:bd:27:4c:c9:02,a8:bd:27:4c:c9:03,a8:bd:27:4c:c9:10,a8:bd:27:4c:c9:12,a8:bd:27:4c:c9:13,a8:bd:27:4c:d2:c0,a8:bd:27:4c:d2:c1,a8:bd:27:4c:d2:c2,a8:bd:27:4c:d2:d0,a8:bd:27:4c:d2:d1,a8:bd:27:4c:d2:d2,a8:bd:27:4d:19:20,a8:bd:27:4d:19:21,a8:bd:27:4d:19:22,a8:bd:27:4d:19:30,a8:bd:27:4d:19:31,a8:bd:27:4d:19:32,x,y,label
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-84,-84,-87,-85,-86,-72,-75,-69,-65,-66,-64,-88,-89,-89,-78,-77,-78,-100,-100,-100,-100,-100,-100,-88,-87,-87,-86,-85,-85,-83,-84,-83,-85,-85,-85,-80,-80,-83,-80,-82,-81,-54,-53,-53,-40,-40,-40,-70,-75,-74,-71,-75,-75,-100,-100,-100,-100,-100,-100,-54,-52,-52,-51,-52,-51,278,639,32
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-88,-87,-83,-83,-83,-85,-75,-75,-72,-73,-73,-85,-86,-84,-79,-79,-80,-100,-100,-100,-100,-100,-100,-90,-89,-90,-84,-85,-84,-82,-79,-79,-83,-84,-84,-80,-80,-85,-90,-88,-88,-50,-48,-48,-46,-45,-47,-72,-74,-73,-72,-72,-72,-100,-100,-100,-100,-100,-100,-53,-53,-53,-55,-54,-54,259,639,33
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-86,-85,-83,-84,-84,-76,-74,-73,-70,-70,-71,-84,-85,-84,-79,-80,-80,-100,-100,-100,-100,-100,-100,-90,-89,-89,-84,-83,-84,-81,-81,-79,-84,-85,-85,-80,-80,-83,-82,-82,-82,-49,-48,-47,-44,-44,-43,-72,-72,-74,-71,-72,-73,-100,-100,-100,-100,-100,-100,-52,-55,-54,-44,-44,-44,259,639,33
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-86,-86,-82,-81,-81,-78,-78,-78,-69,-71,-70,-84,-84,-84,-79,-79,-79,-100,-100,-100,-100,-100,-100,-90,-89,-89,-82,-82,-82,-79,-79,-80,-84,-85,-85,-80,-80,-83,-82,-85,-84,-48,-46,-48,-44,-43,-43,-74,-75,-73,-72,-73,-73,-100,-100,-100,-100,-100,-100,-53,-52,-53,-43,-42,-44,259,639,33
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-86,-86,-82,-84,-83,-71,-73,-74,-72,-71,-72,-85,-84,-84,-78,-79,-78,-100,-100,-100,-100,-100,-100,-90,-89,-90,-84,-84,-84,-78,-81,-81,-85,-85,-85,-80,-80,-83,-83,-82,-82,-48,-49,-50,-45,-44,-44,-72,-72,-74,-71,-72,-72,-100,-100,-100,-100,-100,-100,-53,-53,-55,-45,-44,-45,259,639,33
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-87,-86,-85,-84,-85,-76,-74,-78,-69,-70,-70,-84,-84,-86,-79,-80,-80,-100,-100,-100,-100,-100,-100,-90,-89,-89,-83,-83,-83,-80,-79,-80,-84,-86,-86,-80,-80,-83,-83,-82,-83,-50,-47,-47,-44,-42,-43,-76,-73,-75,-73,-72,-72,-100,-100,-100,-100,-100,-100,-55,-54,-55,-42,-43,-43,259,639,33
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-85,-85,-84,-84,-83,-76,-77,-73,-71,-71,-71,-85,-85,-83,-79,-79,-79,-100,-100,-100,-100,-100,-100,-90,-89,-90,-84,-83,-84,-79,-79,-80,-86,-85,-85,-80,-80,-85,-83,-82,-82,-49,-49,-49,-44,-43,-44,-72,-74,-74,-72,-72,-72,-100,-100,-100,-100,-100,-100,-54,-54,-55,-44,-45,-44,259,639,33
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-85,-86,-84,-84,-85,-76,-72,-72,-71,-71,-71,-85,-84,-85,-78,-79,-75,-100,-100,-100,-100,-100,-100,-90,-89,-90,-83,-83,-83,-79,-78,-82,-85,-86,-85,-80,-80,-85,-81,-81,-82,-49,-47,-49,-45,-44,-44,-72,-72,-74,-71,-73,-73,-100,-100,-100,-100,-100,-100,-56,-55,-56,-43,-44,-44,259,639,33
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-86,-87,-83,-84,-83,-73,-76,-71,-71,-71,-70,-85,-84,-84,-78,-78,-78,-100,-100,-100,-100,-100,-100,-90,-89,-90,-85,-86,-85,-80,-78,-80,-84,-84,-84,-80,-80,-83,-82,-83,-83,-48,-49,-48,-43,-44,-43,-74,-74,-74,-71,-75,-75,-100,-100,-100,-100,-100,-100,-54,-54,-54,-45,-45,-44,259,639,33
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-84,-82,-87,-88,-86,-79,-77,-80,-70,-71,-71,-83,-83,-82,-80,-80,-80,-100,-100,-100,-100,-100,-100,-92,-88,-90,-81,-82,-81,-80,-79,-81,-84,-84,-84,-84,-100,-85,-82,-82,-82,-55,-54,-55,-51,-52,-49,-77,-76,-77,-72,-73,-73,-100,-100,-100,-100,-100,-100,-52,-52,-51,-46,-47,-46,240,639,34
