04:bd:88:41:5a:c0,04:bd:88:41:5a:c1,04:bd:88:41:5a:c2,04:bd:88:41:5a:d0,04:bd:88:41:5a:d1,04:bd:88:41:5a:d2,04:bd:88:41:5b:40,04:bd:88:41:5b:41,04:bd:88:41:5b:42,04:bd:88:41:5b:50,04:bd:88:41:5b:51,04:bd:88:41:5b:52,04:bd:88:41:67:60,04:bd:88:41:67:61,04:bd:88:41:67:62,04:bd:88:41:67:70,04:bd:88:41:67:71,04:bd:88:41:67:72,04:bd:88:41:6b:e0,04:bd:88:41:6b:e1,04:bd:88:41:6b:e2,04:bd:88:41:6b:f0,04:bd:88:41:6b:f1,04:bd:88:41:6b:f2,04:bd:88:41:a3:00,04:bd:88:41:a3:01,04:bd:88:41:a3:02,04:bd:88:41:a3:10,04:bd:88:41:a3:11,04:bd:88:41:a3:12,04:bd:88:41:a4:20,04:bd:88:41:a4:21,04:bd:88:41:a4:22,04:bd:88:41:a4:30,04:bd:88:41:a4:31,04:bd:88:41:a4:32,04:bd:88:41:a4:40,04:bd:88:41:a4:41,04:bd:88:41:a4:42,04:bd:88:41:a4:50,04:bd:88:41:a4:51,04:bd:88:41:a4:52,04:bd:88:5b:e6:a0,04:bd:88:5b:e6:a1,04:bd:88:5b:e6:a2,04:bd:88:5b:e6:b0,04:bd:88:5b:e6:b1,04:bd:88:5b:e6:b2,04:bd:88:5b:e7:00,04:bd:88:5b:e7:01,04:bd:88:5b:e7:02,04:bd:88:5b:e7:10,04:bd:88:5b:e7:11,04:bd:88:5b:e7:12,a8:bd:27:4c:ba:20,a8:bd:27:4c:ba:21,a8:bd:27:4c:ba:22,a8:bd:27:4c:ba:30,a8:bd:27:4c:ba:31,a8:bd:27:4c:ba:32,a8:bd:27:4c:c9:00,a8:bd:27:4c:c9:02,a8:bd:27:4c:c9:03,a8:bd:27:4c:c9:10,a8:bd:27:4c:c9:12,a8:bd:27:4c:c9:13,a8:bd:27:4c:d2:c0,a8:bd:27:4c:d2:c1,a8:bd:27:4c:d2:c2,a8:bd:27:4c:d2:d0,a8:bd:27:4c:d2:d1,a8:bd:27:4c:d2:d2,a8:bd:27:4d:19:20,a8:bd:27:4d:19:21,a8:bd:27:4d:19:22,a8:bd:27:4d:19:30,a8:bd:27:4d:19:31,a8:bd:27:4d:19:32,x,y,label
-74,-74,-75,-67,-68,-68,-69,-72,-100,-61,-61,-62,-71,-70,-70,-59,-60,-59,-76,-76,-76,-77,-76,-77,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-88,-88,-100,-100,-100,-100,-100,-100,-100,-100,-89,-100,-100,-100,-87,-87,-85,-100,-100,-100,-89,-89,-89,-91,-90,-90,-75,-66,-77,-73,-73,-73,-100,-100,-100,-88,-89,-88,542,206,1
-74,-74,-75,-67,-68,-67,-69,-72,-100,-63,-63,-63,-68,-68,-68,-57,-60,-58,-76,-76,-76,-77,-77,-77,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-89,-89,-100,-100,-100,-100,-100,-100,-100,-100,-89,-100,-100,-100,-87,-86,-100,-100,-100,-100,-89,-93,-90,-91,-90,-90,-75,-76,-72,-73,-73,-73,-100,-100,-100,-88,-88,-88,542,206,1
-73,-73,-74,-65,-65,-66,-71,-72,-72,-64,-64,-63,-70,-70,-69,-59,-59,-59,-76,-76,-76,-79,-78,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-92,-90,-88,-100,-100,-100,-100,-100,-100,-100,-100,-89,-100,-100,-100,-87,-86,-87,-100,-100,-100,-90,-90,-91,-91,-90,-90,-75,-75,-75,-73,-73,-73,-100,-100,-100,-88,-88,-88,542,206,1
-74,-75,-74,-68,-68,-68,-72,-72,-100,-63,-63,-63,-70,-70,-68,-59,-59,-59,-76,-77,-77,-76,-76,-76,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-90,-88,-100,-100,-100,-100,-100,-100,-100,-100,-89,-100,-100,-100,-87,-86,-100,-100,-100,-100,-89,-90,-90,-91,-90,-90,-75,-65,-77,-73,-72,-72,-100,-100,-100,-100,-100,-100,542,206,1
-74,-73,-73,-66,-65,-66,-73,-72,-72,-63,-64,-64,-71,-70,-72,-59,-59,-59,-77,-76,-76,-77,-77,-77,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-88,-89,-89,-88,-88,-100,-100,-100,-100,-100,-100,-100,-88,-88,-100,-100,-100,-86,-87,-86,-100,-100,-100,-90,-90,-91,-91,-90,-90,-76,-75,-75,-72,-72,-72,-100,-100,-100,-89,-90,-88,542,206,1
-74,-74,-74,-65,-65,-66,-73,-72,-73,-65,-65,-65,-69,-68,-68,-58,-60,-59,-76,-76,-75,-77,-77,-77,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-88,-89,-88,-100,-100,-100,-100,-100,-100,-100,-100,-89,-100,-100,-100,-87,-86,-86,-100,-100,-100,-90,-90,-91,-91,-90,-90,-75,-75,-75,-73,-73,-73,-100,-100,-100,-89,-87,-88,542,206,1
-77,-77,-79,-75,-75,-77,-71,-71,-71,-68,-68,-68,-60,-60,-60,-56,-55,-55,-78,-77,-77,-78,-78,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-91,-92,-93,-91,-100,-90,-100,-100,-100,-100,-100,-100,-88,-88,-88,-100,-100,-100,-100,-88,-88,-100,-100,-100,-86,-87,-86,-82,-82,-81,-77,-77,-77,-78,-77,-78,-89,-90,-90,-88,-88,-89,542,225,2
-79,-79,-79,-74,-75,-74,-72,-74,-74,-67,-67,-67,-59,-62,-60,-56,-55,-56,-78,-76,-77,-79,-79,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-91,-92,-90,-92,-91,-90,-100,-100,-100,-100,-100,-100,-88,-88,-86,-100,-100,-100,-89,-88,-88,-100,-100,-100,-86,-87,-89,-82,-83,-83,-78,-77,-77,-78,-78,-78,-89,-90,-90,-88,-88,-89,542,225,2
-78,-78,-78,-74,-74,-74,-72,-72,-72,-67,-68,-67,-61,-61,-60,-55,-55,-55,-77,-78,-77,-79,-78,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-91,-92,-93,-91,-91,-90,-100,-100,-100,-100,-100,-100,-88,-88,-88,-100,-100,-100,-89,-88,-88,-100,-100,-100,-86,-88,-88,-83,-84,-82,-64,-75,-76,-78,-77,-78,-89,-90,-89,-88,-88,-89,542,225,2
-80,-86,-100,-76,-77,-76,-71,-69,-70,-68,-68,-68,-61,-59,-60,-55,-54,-55,-77,-77,-100,-76,-76,-76,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-92,-100,-100,-91,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-87,-100,-100,-100,-100,-86,-86,-82,-82,-82,-78,-77,-77,-78,-79,-79,-100,-100,-100,-100,-100,-88,542,225,2
